Cone_CapturedPower,Cone_CapturedRays,Cone_StartRays,QD_CapturedPower,QD_CapturedRays,QD_StartRays
692.291111750356,5712,50000,25233.43109645038,27109,50000
847.6552985587139,6294,55000,27696.98511737527,29680,55000
957.3246951675997,6869,60000,30242.87915705173,32414,60000
1022.8297058901218,7414,65000,32910.699996016425,35271,65000
1078.5072309604482,7879,70000,35427.779398760504,37870,70000
1135.77255339882,8469,75000,37932.18821040055,40632,75000
1211.4975367729132,9069,80000,40345.05407700683,43082,80000
1350.5873229968533,9640,85000,43125.59896048091,45939,85000
1444.4145342740467,10096,90000,45195.33525909989,48227,90000
1521.8958540613285,10653,95000,47980.339437171315,51057,95000
20.240000542963816,680,5000,2496.3536228482885,2731,5000
1579.0656965007377,11238,100000,50847.828211749926,54149,100000
58.851780246292904,1354,10000,5031.961946955511,5445,10000
98.60368069439411,1889,15000,7589.113025560867,8281,15000
148.6095496457271,2258,20000,10031.45193461426,10838,20000
331.737567083153,2910,25000,12677.701868265087,13623,25000
463.69105088545064,3516,30000,15077.666260692027,16212,30000
521.5690639182994,4119,35000,17646.681849139622,19000,35000
574.1458405961579,4666,40000,20282.058401160117,21848,40000
626.677668949028,5072,45000,22465.6925122477,24211,45000
