nm, %R
800.000000, 9.057651
799.000000, 9.314972
798.000000, 9.517013
797.000000, 9.227848
796.000000, 9.061688
795.000000, 9.331068
794.000000, 9.446701
793.000000, 9.160937
792.000000, 9.175112
791.000000, 9.448895
790.000000, 9.350380
789.000000, 9.125527
788.000000, 9.271950
787.000000, 9.452704
786.000000, 9.259070
785.000000, 9.140250
784.000000, 9.378319
783.000000, 9.391785
782.000000, 9.186918
781.000000, 9.216799
780.000000, 9.386958
779.000000, 9.308204
778.000000, 9.169903
777.000000, 9.286627
776.000000, 9.386586
775.000000, 9.246762
774.000000, 9.210543
773.000000, 9.388040
772.000000, 9.335110
771.000000, 9.204522
770.000000, 9.301869
769.000000, 9.361792
768.000000, 9.278494
767.000000, 9.254438
766.000000, 9.343999
765.000000, 9.322720
764.000000, 9.213628
763.000000, 9.288445
762.000000, 9.382344
761.000000, 9.258899
760.000000, 9.245892
759.000000, 9.363614
758.000000, 9.329773
757.000000, 9.261766
756.000000, 9.317904
755.000000, 9.356459
754.000000, 9.249675
753.000000, 9.292007
752.000000, 9.361145
751.000000, 9.297985
750.000000, 9.273947
749.000000, 9.357317
748.000000, 9.334126
747.000000, 9.255922
746.000000, 9.330420
745.000000, 9.351705
744.000000, 9.266190
743.000000, 9.287623
742.000000, 9.352161
741.000000, 9.290877
740.000000, 9.278392
739.000000, 9.362466
738.000000, 9.316729
737.000000, 9.287833
736.000000, 9.363738
735.000000, 9.325765
734.000000, 9.284397
733.000000, 9.376626
732.000000, 9.343237
731.000000, 9.294489
730.000000, 9.359697
729.000000, 9.364142
728.000000, 9.298238
727.000000, 9.346886
726.000000, 9.375822
725.000000, 9.301947
724.000000, 9.355340
723.000000, 9.389479
722.000000, 9.306081
721.000000, 9.359426
720.000000, 9.395470
719.000000, 9.319286
718.000000, 9.351303
717.000000, 9.379082
716.000000, 9.323537
715.000000, 9.363863
714.000000, 9.391516
713.000000, 9.344144
712.000000, 9.381051
711.000000, 9.381982
710.000000, 9.347364
709.000000, 9.397089
708.000000, 9.392469
707.000000, 9.352633
706.000000, 9.394493
705.000000, 9.388424
704.000000, 9.372686
703.000000, 9.411066
702.000000, 9.392604
701.000000, 9.384740
700.000000, 9.420065
699.000000, 9.391830
698.000000, 9.401570
697.000000, 9.417948
696.000000, 9.393044
695.000000, 9.419815
694.000000, 9.418693
