nm, %R
800.000000, 9.696154
799.000000, 9.666698
798.000000, 9.630473
797.000000, 9.663440
796.000000, 9.635298
795.000000, 9.665064
794.000000, 9.675113
793.000000, 9.673334
792.000000, 9.707567
791.000000, 9.657077
790.000000, 9.684623
789.000000, 9.655782
788.000000, 9.654752
787.000000, 9.624867
786.000000, 9.647142
785.000000, 9.646031
784.000000, 9.612336
783.000000, 9.638551
782.000000, 9.639090
781.000000, 9.631082
780.000000, 9.638638
779.000000, 9.637207
778.000000, 9.618410
777.000000, 9.615477
776.000000, 9.610746
775.000000, 9.633672
774.000000, 9.614014
773.000000, 9.616249
772.000000, 9.616114
771.000000, 9.620119
770.000000, 9.609028
769.000000, 9.593619
768.000000, 9.631913
767.000000, 9.608109
766.000000, 9.603973
765.000000, 9.577857
764.000000, 9.587538
763.000000, 9.579567
762.000000, 9.595058
761.000000, 9.579173
760.000000, 9.558163
759.000000, 9.548458
758.000000, 9.559196
757.000000, 9.558711
756.000000, 9.568538
755.000000, 9.559177
754.000000, 9.569742
753.000000, 9.583560
752.000000, 9.551664
751.000000, 9.550272
750.000000, 9.559494
749.000000, 9.566387
748.000000, 9.555705
747.000000, 9.524751
746.000000, 9.533669
745.000000, 9.516559
744.000000, 9.516128
743.000000, 9.515514
742.000000, 9.521923
741.000000, 9.533764
740.000000, 9.507901
739.000000, 9.514676
738.000000, 9.509520
737.000000, 9.523478
736.000000, 9.521734
735.000000, 9.529660
734.000000, 9.514129
733.000000, 9.513024
732.000000, 9.508385
731.000000, 9.502950
730.000000, 9.504204
729.000000, 9.516889
728.000000, 9.524600
727.000000, 9.531463
726.000000, 9.531329
725.000000, 9.534052
724.000000, 9.541118
723.000000, 9.529854
722.000000, 9.514826
721.000000, 9.508963
720.000000, 9.515137
719.000000, 9.519170
718.000000, 9.523713
717.000000, 9.514583
716.000000, 9.514903
715.000000, 9.510176
714.000000, 9.524213
713.000000, 9.534113
712.000000, 9.529005
711.000000, 9.523919
710.000000, 9.506673
709.000000, 9.502865
708.000000, 9.517802
707.000000, 9.522088
706.000000, 9.521365
705.000000, 9.515281
704.000000, 9.512286
703.000000, 9.508199
702.000000, 9.511418
701.000000, 9.510030
700.000000, 9.505531
699.000000, 9.498205
698.000000, 9.502289
697.000000, 9.517478
696.000000, 9.507450
695.000000, 9.508492
694.000000, 9.515723
693.000000, 9.512436
692.000000, 9.500414
691.000000, 9.504941
690.000000, 9.511647
689.000000, 9.506107
688.000000, 9.513202
687.000000, 9.524183
686.000000, 9.506762
685.000000, 9.505339
684.000000, 9.521805
683.000000, 9.511180
682.000000, 9.506574
681.000000, 9.511422
680.000000, 9.509788
679.000000, 9.498383
678.000000, 9.497565
677.000000, 9.497521
676.000000, 9.489479
675.000000, 9.499373
674.000000, 9.498093
673.000000, 9.492776
672.000000, 9.491570
671.000000, 9.490545
670.000000, 9.486509
669.000000, 9.493015
668.000000, 9.486990
667.000000, 9.473086
666.000000, 9.482778
665.000000, 9.491046
664.000000, 9.489289
663.000000, 9.482300
662.000000, 9.474507
661.000000, 9.475375
660.000000, 9.482298
659.000000, 9.481389
658.000000, 9.480244
657.000000, 9.474688
656.000000, 9.469235
655.000000, 9.462578
654.000000, 9.462146
653.000000, 9.463701
652.000000, 9.464448
651.000000, 9.473849
650.000000, 9.464029
649.000000, 9.460875
648.000000, 9.462580
647.000000, 9.471684
646.000000, 9.467150
645.000000, 9.465716
644.000000, 9.460529
643.000000, 9.458481
642.000000, 9.461193
641.000000, 9.464721
640.000000, 9.468785
639.000000, 9.462273
638.000000, 9.456188
637.000000, 9.459373
636.000000, 9.467684
635.000000, 9.464019
634.000000, 9.467381
633.000000, 9.473643
632.000000, 9.471168
631.000000, 9.475184
630.000000, 9.475466
629.000000, 9.479702
628.000000, 9.485167
627.000000, 9.484751
626.000000, 9.473553
625.000000, 9.471890
624.000000, 9.474157
623.000000, 9.470828
622.000000, 9.478740
621.000000, 9.478168
620.000000, 9.478702
619.000000, 9.480154
618.000000, 9.480010
617.000000, 9.469617
616.000000, 9.477272
615.000000, 9.473841
614.000000, 9.465004
613.000000, 9.478797
612.000000, 9.476152
611.000000, 9.483130
610.000000, 9.471367
609.000000, 9.459924
608.000000, 9.475078
607.000000, 9.489926
606.000000, 9.463067
605.000000, 9.469090
604.000000, 9.471484
603.000000, 9.477494
602.000000, 9.478788
601.000000, 9.472614
600.000000, 9.486426
599.000000, 9.483093
598.000000, 9.477215
597.000000, 9.487928
596.000000, 9.491888
595.000000, 9.497842
594.000000, 9.496072
593.000000, 9.493257
592.000000, 9.495722
591.000000, 9.490988
590.000000, 9.475071
589.000000, 9.502338
588.000000, 9.493883
587.000000, 9.492765
586.000000, 9.497996
585.000000, 9.500601
584.000000, 9.500781
583.000000, 9.500873
582.000000, 9.496048
581.000000, 9.496641
580.000000, 9.508627
579.000000, 9.511073
578.000000, 9.497784
577.000000, 9.495892
576.000000, 9.517622
575.000000, 9.505491
574.000000, 9.504254
573.000000, 9.502423
572.000000, 9.507151
571.000000, 9.504244
570.000000, 9.506601
569.000000, 9.505942
568.000000, 9.508464
567.000000, 9.508981
566.000000, 9.493457
565.000000, 9.495886
564.000000, 9.493376
563.000000, 9.482708
562.000000, 9.491224
561.000000, 9.516125
560.000000, 9.496633
559.000000, 9.485667
558.000000, 9.496229
557.000000, 9.479350
556.000000, 9.478265
555.000000, 9.471281
554.000000, 9.470430
553.000000, 9.459051
552.000000, 9.462965
551.000000, 9.461099
550.000000, 9.458298
549.000000, 9.467661
548.000000, 9.458556
547.000000, 9.453991
546.000000, 9.456832
545.000000, 9.455513
544.000000, 9.455153
543.000000, 9.451763
542.000000, 9.459516
541.000000, 9.455386
540.000000, 9.457914
539.000000, 9.440707
538.000000, 9.442496
537.000000, 9.440976
536.000000, 9.447709
535.000000, 9.452545
534.000000, 9.450886
533.000000, 9.452378
532.000000, 9.458465
531.000000, 9.447904
530.000000, 9.462055
529.000000, 9.463910
528.000000, 9.460673
527.000000, 9.466855
526.000000, 9.472213
525.000000, 9.479696
524.000000, 9.483679
523.000000, 9.491395
522.000000, 9.491996
521.000000, 9.496996
520.000000, 9.497459
519.000000, 9.506007
518.000000, 9.522303
517.000000, 9.526577
516.000000, 9.537119
515.000000, 9.541711
514.000000, 9.531936
513.000000, 9.542138
512.000000, 9.554016
511.000000, 9.558818
510.000000, 9.559852
509.000000, 9.571099
508.000000, 9.556675
507.000000, 9.522560
506.000000, 9.507780
505.000000, 9.505999
504.000000, 9.513047
503.000000, 9.519997
502.000000, 9.527112
501.000000, 9.523920
500.000000, 9.530869
499.000000, 9.517013
498.000000, 9.513211
497.000000, 9.502514
496.000000, 9.508091
495.000000, 9.501190
494.000000, 9.505362
493.000000, 9.495734
492.000000, 9.480232
491.000000, 9.482827
490.000000, 9.467096
489.000000, 9.456568
488.000000, 9.449003
487.000000, 9.444053
486.000000, 9.429863
485.000000, 9.420123
484.000000, 9.419400
483.000000, 9.417005
482.000000, 9.405760
481.000000, 9.416626
480.000000, 9.429453
479.000000, 9.465814
478.000000, 9.500215
477.000000, 9.510686
476.000000, 9.514943
475.000000, 9.530105
474.000000, 9.542179
473.000000, 9.552579
472.000000, 9.562120
471.000000, 9.571688
470.000000, 9.591859
469.000000, 9.599134
468.000000, 9.602069
467.000000, 9.609753
466.000000, 9.614747
465.000000, 9.628578
464.000000, 9.639483
463.000000, 9.646444
462.000000, 9.649453
461.000000, 9.652931
460.000000, 9.647474
459.000000, 9.656765
458.000000, 9.655534
457.000000, 9.654131
456.000000, 9.663115
455.000000, 9.671866
454.000000, 9.668862
453.000000, 9.654662
452.000000, 9.648760
451.000000, 9.650608
450.000000, 9.663945
449.000000, 9.672149
448.000000, 9.666277
447.000000, 9.666535
446.000000, 9.673105
445.000000, 9.662614
444.000000, 9.645233
443.000000, 9.645512
442.000000, 9.664116
441.000000, 9.674080
440.000000, 9.676424
439.000000, 9.683233
438.000000, 9.688169
437.000000, 9.690432
436.000000, 9.687322
435.000000, 9.702145
434.000000, 9.713175
433.000000, 9.713930
432.000000, 9.724782
431.000000, 9.723740
430.000000, 9.732490
429.000000, 9.744778
428.000000, 9.734741
427.000000, 9.726965
426.000000, 9.744404
425.000000, 9.753742
424.000000, 9.766145
423.000000, 9.776930
422.000000, 9.778561
421.000000, 9.783301
420.000000, 9.791664
419.000000, 9.803671
418.000000, 9.801920
417.000000, 9.822329
416.000000, 9.839476
415.000000, 9.832023
414.000000, 9.834096
413.000000, 9.837077
412.000000, 9.863702
411.000000, 9.895496
410.000000, 9.910869
409.000000, 9.930937
408.000000, 9.941256
407.000000, 9.949052
406.000000, 9.980787
405.000000, 10.017869
404.000000, 10.059646
403.000000, 10.074674
402.000000, 10.084233
401.000000, 10.126893
400.000000, 10.147254
399.000000, 10.168342
398.000000, 10.181439
397.000000, 10.215682
396.000000, 10.275689
395.000000, 10.300322
394.000000, 10.337307
393.000000, 10.399370
392.000000, 10.429487
391.000000, 10.465597
390.000000, 10.509933
389.000000, 10.550977
388.000000, 10.588906
387.000000, 10.658905
386.000000, 10.676743
385.000000, 10.725445
384.000000, 10.784231
383.000000, 10.823881
382.000000, 10.887173
381.000000, 10.927184
380.000000, 11.001419
379.000000, 11.062775
378.000000, 11.075684
377.000000, 10.222390
376.000000, 9.841660
375.000000, 10.161551
374.000000, 10.420182
373.000000, 10.669061
372.000000, 10.854630
371.000000, 11.034902
370.000000, 11.213746
369.000000, 11.219614
368.000000, 11.394669
367.000000, 11.506520
366.000000, 11.701601
365.000000, 11.862885
364.000000, 11.918892
363.000000, 11.983349
362.000000, 12.023316
361.000000, 12.201556
360.000000, 12.304980
359.000000, 12.355503
358.000000, 12.540288
357.000000, 12.510823
356.000000, 12.541622
355.000000, 12.830707
354.000000, 12.781308
353.000000, 13.027950
352.000000, 12.997790
351.000000, 13.101429
350.000000, 13.139902
349.000000, 13.233231
348.000000, 13.378965
347.000000, 13.561001
346.000000, 13.468430
345.000000, 13.606153
344.000000, 13.780806
343.000000, 13.863992
342.000000, 13.813660
341.000000, 13.929961
340.000000, 14.007073
339.000000, 14.261412
338.000000, 14.164537
337.000000, 14.220323
336.000000, 14.509662
335.000000, 14.542114
334.000000, 14.519384
333.000000, 14.671505
332.000000, 14.726343
331.000000, 14.917183
330.000000, 14.945729
329.000000, 15.204195
328.000000, 15.216594
327.000000, 15.273118
326.000000, 15.634601
325.000000, 15.390781
324.000000, 15.837171
323.000000, 15.924673
322.000000, 16.000369
321.000000, 16.144481
320.000000, 16.180823
319.000000, 16.046863
318.000000, 15.403664
317.000000, 15.394109
316.000000, 15.359696
315.000000, 15.414417
314.000000, 15.475703
313.000000, 15.515212
312.000000, 15.549143
311.000000, 15.631173
310.000000, 15.611695
309.000000, 15.727731
308.000000, 15.933330
307.000000, 15.917051
306.000000, 16.063940
305.000000, 16.258915
304.000000, 16.243092
303.000000, 16.320041
302.000000, 16.438584
301.000000, 16.480238
300.000000, 16.582402
299.000000, 16.671231
298.000000, 16.659676
297.000000, 16.800927
296.000000, 16.861347
295.000000, 16.967397
294.000000, 17.070514
293.000000, 17.142475
292.000000, 17.192108
291.000000, 17.228030
290.000000, 17.349395
289.000000, 17.374723
288.000000, 17.461227
287.000000, 17.491808
286.000000, 17.592842
285.000000, 17.689890
284.000000, 17.730222
283.000000, 17.795970
282.000000, 17.906391
281.000000, 17.895181
280.000000, 17.867988
279.000000, 17.885875
278.000000, 17.935799
277.000000, 17.984383
276.000000, 18.023570
275.000000, 18.050207
274.000000, 18.119485
273.000000, 18.220181
272.000000, 18.352949
271.000000, 18.462071
270.000000, 18.639333
269.000000, 18.698190
268.000000, 18.824986
267.000000, 18.978456
266.000000, 19.234075
265.000000, 19.373860
264.000000, 19.637450
263.000000, 19.799547
262.000000, 19.927739
261.000000, 20.053652
260.000000, 20.258927
259.000000, 20.487347
258.000000, 20.619752
257.000000, 20.720974
256.000000, 20.845499
255.000000, 20.981805
254.000000, 21.027512
253.000000, 21.158928
252.000000, 21.181360
251.000000, 21.176772
250.000000, 21.225934
