nm, %R
800.000000, 11.287068
799.000000, 11.266108
798.000000, 11.248884
797.000000, 11.247509
796.000000, 11.236988
795.000000, 11.240531
794.000000, 11.242682
793.000000, 11.279637
792.000000, 11.268582
791.000000, 11.245071
790.000000, 11.260064
789.000000, 11.228035
788.000000, 11.224764
787.000000, 11.206856
786.000000, 11.171830
785.000000, 11.205920
784.000000, 11.236275
783.000000, 11.235339
782.000000, 11.200813
781.000000, 11.170380
780.000000, 11.200379
779.000000, 11.181283
778.000000, 11.162603
777.000000, 11.196828
776.000000, 11.207315
775.000000, 11.193664
774.000000, 11.184470
773.000000, 11.204118
772.000000, 11.187424
771.000000, 11.192741
770.000000, 11.170661
769.000000, 11.191193
768.000000, 11.169434
767.000000, 11.186921
766.000000, 11.149383
765.000000, 11.174473
764.000000, 11.149640
763.000000, 11.147896
762.000000, 11.131676
761.000000, 11.114280
760.000000, 11.136926
759.000000, 11.138145
758.000000, 11.115926
757.000000, 11.118059
756.000000, 11.127434
755.000000, 11.123788
754.000000, 11.110639
753.000000, 11.096487
752.000000, 11.132940
751.000000, 11.113197
750.000000, 11.106881
749.000000, 11.122768
748.000000, 11.108678
747.000000, 11.110828
746.000000, 11.088853
745.000000, 11.089064
744.000000, 11.082731
743.000000, 11.076621
742.000000, 11.075158
741.000000, 11.088496
740.000000, 11.069966
739.000000, 11.076189
738.000000, 11.089979
737.000000, 11.086649
736.000000, 11.074051
735.000000, 11.078378
734.000000, 11.071157
733.000000, 11.110006
732.000000, 11.101783
731.000000, 11.098697
730.000000, 11.077451
729.000000, 11.078471
728.000000, 11.080674
727.000000, 11.079118
726.000000, 11.104538
725.000000, 11.099576
724.000000, 11.077901
723.000000, 11.069275
722.000000, 11.087897
721.000000, 11.081407
720.000000, 11.094055
719.000000, 11.086007
718.000000, 11.069961
717.000000, 11.082147
716.000000, 11.092499
715.000000, 11.082297
714.000000, 11.082155
713.000000, 11.097686
712.000000, 11.101589
711.000000, 11.097934
710.000000, 11.089278
709.000000, 11.067348
708.000000, 11.073906
707.000000, 11.078882
706.000000, 11.073203
705.000000, 11.078563
704.000000, 11.072896
703.000000, 11.075178
702.000000, 11.077381
701.000000, 11.078931
700.000000, 11.072999
699.000000, 11.075273
698.000000, 11.083823
697.000000, 11.076929
696.000000, 11.064965
695.000000, 11.072215
694.000000, 11.071870
693.000000, 11.069557
692.000000, 11.068390
691.000000, 11.066194
690.000000, 11.062885
689.000000, 11.066919
688.000000, 11.084268
687.000000, 11.089776
686.000000, 11.092778
685.000000, 11.090579
684.000000, 11.077026
683.000000, 11.077613
682.000000, 11.085255
681.000000, 11.084969
680.000000, 11.073241
679.000000, 11.064680
678.000000, 11.071748
677.000000, 11.078108
676.000000, 11.083139
675.000000, 11.076353
674.000000, 11.063890
673.000000, 11.064970
672.000000, 11.060284
671.000000, 11.059055
670.000000, 11.056564
669.000000, 11.051073
668.000000, 11.052774
667.000000, 11.042532
666.000000, 11.040637
665.000000, 11.050429
664.000000, 11.045305
663.000000, 11.031699
662.000000, 11.029341
661.000000, 11.041249
660.000000, 11.041180
659.000000, 11.037231
658.000000, 11.033638
657.000000, 11.033483
656.000000, 11.029084
655.000000, 11.032022
654.000000, 11.037802
653.000000, 11.026738
652.000000, 11.028499
651.000000, 11.034629
650.000000, 11.038964
649.000000, 11.039959
648.000000, 11.036726
647.000000, 11.039879
646.000000, 11.037866
645.000000, 11.036054
644.000000, 11.037195
643.000000, 11.025778
642.000000, 11.014946
641.000000, 11.020094
640.000000, 11.023897
639.000000, 11.029061
638.000000, 11.027940
637.000000, 11.029003
636.000000, 11.022495
635.000000, 11.018688
634.000000, 11.021408
633.000000, 11.028806
632.000000, 11.031238
631.000000, 11.017703
630.000000, 11.019906
629.000000, 11.037686
628.000000, 11.025080
627.000000, 11.028322
626.000000, 11.039383
625.000000, 11.031394
624.000000, 11.036992
623.000000, 11.020160
622.000000, 11.027198
621.000000, 11.026194
620.000000, 11.018885
619.000000, 11.024501
618.000000, 11.022335
617.000000, 11.024408
616.000000, 11.033302
615.000000, 11.031715
614.000000, 11.026424
613.000000, 11.028535
612.000000, 11.019404
611.000000, 11.016208
610.000000, 11.015156
609.000000, 11.021901
608.000000, 11.024041
607.000000, 11.024990
606.000000, 11.023818
605.000000, 11.025195
604.000000, 11.027134
603.000000, 11.029313
602.000000, 11.015009
601.000000, 11.031497
600.000000, 11.021465
599.000000, 11.032879
598.000000, 11.029447
597.000000, 11.030256
596.000000, 11.026446
595.000000, 11.030299
594.000000, 11.036086
593.000000, 11.028901
592.000000, 11.032301
591.000000, 11.037080
590.000000, 11.024898
589.000000, 11.031282
588.000000, 11.028978
587.000000, 11.030520
586.000000, 11.040680
585.000000, 11.029104
584.000000, 11.030069
583.000000, 11.027403
582.000000, 11.032924
581.000000, 11.043871
580.000000, 11.052410
579.000000, 11.043167
578.000000, 11.036073
577.000000, 11.034747
576.000000, 11.047419
575.000000, 11.046814
574.000000, 11.056331
573.000000, 11.038456
572.000000, 11.056945
571.000000, 11.036744
570.000000, 11.037431
569.000000, 11.042603
568.000000, 11.041131
567.000000, 11.040261
566.000000, 11.022231
565.000000, 11.026128
564.000000, 11.017001
563.000000, 11.021087
562.000000, 11.018908
561.000000, 11.189530
560.000000, 11.168791
559.000000, 11.172638
558.000000, 11.180102
557.000000, 11.178783
556.000000, 11.174080
555.000000, 11.174316
554.000000, 11.172505
553.000000, 11.182056
552.000000, 11.168891
551.000000, 11.168199
550.000000, 11.154659
549.000000, 11.172831
548.000000, 11.174216
547.000000, 11.169598
546.000000, 11.179599
545.000000, 11.190175
544.000000, 11.193296
543.000000, 11.190630
542.000000, 11.199897
541.000000, 11.189566
540.000000, 11.199031
539.000000, 11.204953
538.000000, 11.207976
537.000000, 11.221426
536.000000, 11.231990
535.000000, 11.237393
534.000000, 11.237045
533.000000, 11.245131
532.000000, 11.261265
531.000000, 11.279550
530.000000, 11.298118
529.000000, 11.307543
528.000000, 11.313619
527.000000, 11.332400
526.000000, 11.344454
525.000000, 11.367125
524.000000, 11.385686
523.000000, 11.408200
522.000000, 11.410941
521.000000, 11.436998
520.000000, 11.447213
519.000000, 11.465017
518.000000, 11.481206
517.000000, 11.485785
516.000000, 11.498074
515.000000, 11.521386
514.000000, 11.525385
513.000000, 11.532018
512.000000, 11.539584
511.000000, 11.524023
510.000000, 11.531660
509.000000, 11.529581
508.000000, 11.529588
507.000000, 11.528292
506.000000, 11.509591
505.000000, 11.493976
504.000000, 11.507018
503.000000, 11.503020
502.000000, 11.503382
501.000000, 11.484356
500.000000, 11.472250
499.000000, 11.460003
498.000000, 11.441623
497.000000, 11.431897
496.000000, 11.428692
495.000000, 11.412617
494.000000, 11.404517
493.000000, 11.396516
492.000000, 11.392313
491.000000, 11.389218
490.000000, 11.369597
489.000000, 11.365272
488.000000, 11.360070
487.000000, 11.346884
486.000000, 11.344753
485.000000, 11.343011
484.000000, 11.360476
483.000000, 11.373076
482.000000, 11.376659
481.000000, 11.416102
480.000000, 11.463601
479.000000, 11.513202
478.000000, 11.559908
477.000000, 11.583088
476.000000, 11.602266
475.000000, 11.617476
474.000000, 11.643564
473.000000, 11.675932
472.000000, 11.692348
471.000000, 11.701732
470.000000, 11.718964
469.000000, 11.721249
468.000000, 11.724782
467.000000, 11.729924
466.000000, 11.729877
465.000000, 11.731318
464.000000, 11.729395
463.000000, 11.721791
462.000000, 11.716167
461.000000, 11.711851
460.000000, 11.702547
459.000000, 11.699729
458.000000, 11.702253
457.000000, 11.704799
456.000000, 11.711790
455.000000, 11.711801
454.000000, 11.710581
453.000000, 11.711266
452.000000, 11.713661
451.000000, 11.722530
450.000000, 11.720439
449.000000, 11.710662
448.000000, 11.720042
447.000000, 11.732611
446.000000, 11.718177
445.000000, 11.710037
444.000000, 11.711939
443.000000, 11.726148
442.000000, 11.724762
441.000000, 11.718468
440.000000, 11.740205
439.000000, 11.748572
438.000000, 11.739471
437.000000, 11.749542
436.000000, 11.753584
435.000000, 11.762673
434.000000, 11.778154
433.000000, 11.769016
432.000000, 11.773918
431.000000, 11.774672
430.000000, 11.773780
429.000000, 11.793692
428.000000, 11.798379
427.000000, 11.792608
426.000000, 11.799450
425.000000, 11.809000
424.000000, 11.812006
423.000000, 11.821674
422.000000, 11.817319
421.000000, 11.823741
420.000000, 11.833623
419.000000, 11.826498
418.000000, 11.813332
417.000000, 11.835015
416.000000, 11.849209
415.000000, 11.843604
414.000000, 11.863431
413.000000, 11.858539
412.000000, 11.860178
411.000000, 11.887509
410.000000, 11.889604
409.000000, 11.904479
408.000000, 11.921091
407.000000, 11.928007
406.000000, 11.937614
405.000000, 11.968586
404.000000, 11.965082
403.000000, 11.965714
402.000000, 11.981318
401.000000, 12.007520
400.000000, 12.036583
399.000000, 12.054331
398.000000, 12.063713
397.000000, 12.087825
396.000000, 12.121456
395.000000, 12.155560
394.000000, 12.167446
393.000000, 12.193832
392.000000, 12.219165
391.000000, 12.257765
390.000000, 12.285294
389.000000, 12.305272
388.000000, 12.353286
387.000000, 12.388155
386.000000, 12.428692
385.000000, 12.463055
384.000000, 12.494786
383.000000, 12.564514
382.000000, 12.581186
381.000000, 12.619813
380.000000, 12.664035
379.000000, 12.736421
378.000000, 12.705687
377.000000, 12.244739
376.000000, 12.158688
375.000000, 12.292856
374.000000, 12.431793
373.000000, 12.661442
372.000000, 12.737591
371.000000, 12.812088
370.000000, 12.886607
369.000000, 13.018478
368.000000, 13.191100
367.000000, 13.211012
366.000000, 13.384126
365.000000, 13.461708
364.000000, 13.470730
363.000000, 13.597374
362.000000, 13.593805
361.000000, 13.683388
360.000000, 13.682775
359.000000, 13.828339
358.000000, 13.940390
357.000000, 13.992927
356.000000, 13.994023
355.000000, 14.078823
354.000000, 14.069777
353.000000, 14.211963
352.000000, 14.176330
351.000000, 14.286978
350.000000, 14.482389
349.000000, 14.470762
348.000000, 14.565855
347.000000, 14.629267
346.000000, 14.723047
345.000000, 14.836696
344.000000, 14.979313
343.000000, 14.856729
342.000000, 14.992150
341.000000, 14.995085
340.000000, 15.258796
339.000000, 15.378729
338.000000, 15.199595
337.000000, 15.188570
336.000000, 15.254056
335.000000, 15.541756
334.000000, 15.522863
333.000000, 15.474156
332.000000, 15.726141
331.000000, 15.786795
330.000000, 15.931289
329.000000, 16.353971
328.000000, 16.127779
327.000000, 16.075924
326.000000, 16.408070
325.000000, 16.386799
324.000000, 16.483371
323.000000, 16.835886
322.000000, 16.829527
321.000000, 16.749953
320.000000, 16.688995
319.000000, 16.847249
318.000000, 16.520847
317.000000, 16.498532
316.000000, 16.424595
315.000000, 16.446592
314.000000, 16.497732
313.000000, 16.482122
312.000000, 16.540331
311.000000, 16.605634
310.000000, 16.594836
309.000000, 16.716747
308.000000, 16.789731
307.000000, 16.834388
306.000000, 16.985110
305.000000, 17.027900
304.000000, 17.152500
303.000000, 17.182534
302.000000, 17.282506
301.000000, 17.313958
300.000000, 17.372431
299.000000, 17.392991
298.000000, 17.511469
297.000000, 17.554159
296.000000, 17.616110
295.000000, 17.701484
294.000000, 17.785623
293.000000, 17.875137
292.000000, 17.893252
291.000000, 17.946396
290.000000, 17.969911
289.000000, 18.135161
288.000000, 18.190311
287.000000, 18.235765
286.000000, 18.275952
285.000000, 18.302344
284.000000, 18.404719
283.000000, 18.411418
282.000000, 18.434663
281.000000, 18.497151
280.000000, 18.540302
279.000000, 18.567938
278.000000, 18.545448
277.000000, 18.524289
276.000000, 18.587288
275.000000, 18.639510
274.000000, 18.706425
273.000000, 18.837927
272.000000, 18.944447
271.000000, 19.077628
270.000000, 19.159292
269.000000, 19.221890
268.000000, 19.339657
267.000000, 19.463324
266.000000, 19.678258
265.000000, 19.822679
264.000000, 19.989970
263.000000, 20.213634
262.000000, 20.421478
261.000000, 20.602078
260.000000, 20.752729
259.000000, 20.930733
258.000000, 21.044854
257.000000, 21.200073
256.000000, 21.333066
255.000000, 21.476927
254.000000, 21.559831
253.000000, 21.623014
252.000000, 21.679622
251.000000, 21.782903
250.000000, 21.840750
