nm, %R
800.000000, 8.138176
799.000000, 8.135063
798.000000, 8.099108
797.000000, 8.095456
796.000000, 8.098907
795.000000, 8.093866
794.000000, 8.097847
793.000000, 8.090789
792.000000, 8.070440
791.000000, 8.092356
790.000000, 8.081614
789.000000, 8.099358
788.000000, 8.079049
787.000000, 8.078008
786.000000, 8.078072
785.000000, 8.063751
784.000000, 8.055038
783.000000, 8.068319
782.000000, 8.052634
781.000000, 8.041379
780.000000, 8.038442
779.000000, 8.041231
778.000000, 8.056637
777.000000, 8.036701
776.000000, 8.038029
775.000000, 8.034506
774.000000, 8.019992
773.000000, 8.002311
772.000000, 8.011887
771.000000, 8.017238
770.000000, 8.000450
769.000000, 7.997381
768.000000, 8.005267
767.000000, 7.991100
766.000000, 7.999352
765.000000, 8.006930
764.000000, 7.989880
763.000000, 8.008391
762.000000, 8.006699
761.000000, 7.985776
760.000000, 7.965052
759.000000, 7.979689
758.000000, 7.970463
757.000000, 7.948875
756.000000, 7.930911
755.000000, 7.927679
754.000000, 7.940950
753.000000, 7.957112
752.000000, 7.965919
751.000000, 7.942205
750.000000, 7.943398
749.000000, 7.953869
748.000000, 7.961283
747.000000, 7.941380
746.000000, 7.937193
745.000000, 7.938974
744.000000, 7.918427
743.000000, 7.925328
742.000000, 7.924505
741.000000, 7.919457
740.000000, 7.907822
739.000000, 7.911794
738.000000, 7.901617
737.000000, 7.906712
736.000000, 7.906208
735.000000, 7.896831
734.000000, 7.902506
733.000000, 7.906326
732.000000, 7.884555
731.000000, 7.898923
730.000000, 7.893132
729.000000, 7.873923
728.000000, 7.866035
727.000000, 7.883868
726.000000, 7.880422
725.000000, 7.865203
724.000000, 7.852386
723.000000, 7.858153
722.000000, 7.851993
721.000000, 7.847991
720.000000, 7.858797
719.000000, 7.866555
718.000000, 7.869130
717.000000, 7.846324
716.000000, 7.839604
715.000000, 7.848051
714.000000, 7.852950
713.000000, 7.842925
712.000000, 7.843274
711.000000, 7.837918
710.000000, 7.823780
709.000000, 7.826640
708.000000, 7.834468
707.000000, 7.829493
706.000000, 7.821125
705.000000, 7.821336
704.000000, 7.812647
703.000000, 7.811799
702.000000, 7.819170
701.000000, 7.813944
700.000000, 7.808674
699.000000, 7.808545
698.000000, 7.795499
697.000000, 7.795605
696.000000, 7.806322
695.000000, 7.804119
694.000000, 7.799497
693.000000, 7.801680
692.000000, 7.795031
691.000000, 7.790622
690.000000, 7.791239
689.000000, 7.784480
688.000000, 7.770445
687.000000, 7.771932
686.000000, 7.785316
685.000000, 7.781394
684.000000, 7.770087
683.000000, 7.775440
682.000000, 7.775550
681.000000, 7.763968
680.000000, 7.755218
679.000000, 7.748186
678.000000, 7.752593
677.000000, 7.753048
676.000000, 7.757164
675.000000, 7.766456
674.000000, 7.754852
673.000000, 7.752177
672.000000, 7.756740
671.000000, 7.749199
670.000000, 7.742491
669.000000, 7.748830
668.000000, 7.758607
667.000000, 7.748366
666.000000, 7.740338
665.000000, 7.739478
664.000000, 7.741982
663.000000, 7.742857
662.000000, 7.729015
661.000000, 7.727756
660.000000, 7.738986
659.000000, 7.739805
658.000000, 7.733635
657.000000, 7.736989
656.000000, 7.741972
655.000000, 7.728640
654.000000, 7.724598
653.000000, 7.722107
652.000000, 7.716530
651.000000, 7.726408
650.000000, 7.726585
649.000000, 7.724229
648.000000, 7.721132
647.000000, 7.717439
646.000000, 7.715722
645.000000, 7.715145
644.000000, 7.710766
643.000000, 7.702531
642.000000, 7.716713
641.000000, 7.720961
640.000000, 7.720616
639.000000, 7.708184
638.000000, 7.710370
637.000000, 7.715103
636.000000, 7.718599
635.000000, 7.713872
634.000000, 7.717921
633.000000, 7.717343
632.000000, 7.716489
631.000000, 7.717941
630.000000, 7.712224
629.000000, 7.708290
628.000000, 7.712582
627.000000, 7.719995
626.000000, 7.713110
625.000000, 7.711184
624.000000, 7.710693
623.000000, 7.708195
622.000000, 7.716395
621.000000, 7.710653
620.000000, 7.717535
619.000000, 7.719591
618.000000, 7.718782
617.000000, 7.722524
616.000000, 7.725307
615.000000, 7.725799
614.000000, 7.721084
613.000000, 7.719688
612.000000, 7.726112
611.000000, 7.728468
610.000000, 7.723066
609.000000, 7.715994
608.000000, 7.722301
607.000000, 7.724033
606.000000, 7.742175
605.000000, 7.727542
604.000000, 7.736758
603.000000, 7.738508
602.000000, 7.732698
601.000000, 7.731750
600.000000, 7.743095
599.000000, 7.743711
598.000000, 7.739838
597.000000, 7.751728
596.000000, 7.753095
595.000000, 7.754360
594.000000, 7.750850
593.000000, 7.762929
592.000000, 7.766192
591.000000, 7.762695
590.000000, 7.769818
589.000000, 7.767283
588.000000, 7.756873
587.000000, 7.767761
586.000000, 7.782777
585.000000, 7.780120
584.000000, 7.785037
583.000000, 7.779103
582.000000, 7.784485
581.000000, 7.786592
580.000000, 7.793674
579.000000, 7.805312
578.000000, 7.795167
577.000000, 7.793434
576.000000, 7.800498
575.000000, 7.802596
574.000000, 7.821111
573.000000, 7.809393
572.000000, 7.812893
571.000000, 7.812401
570.000000, 7.820182
569.000000, 7.820159
568.000000, 7.838340
567.000000, 7.836608
566.000000, 7.823686
565.000000, 7.831121
564.000000, 7.836629
563.000000, 7.840262
562.000000, 7.842393
561.000000, 7.755154
560.000000, 7.758991
559.000000, 7.765808
558.000000, 7.755010
557.000000, 7.761733
556.000000, 7.761261
555.000000, 7.761607
554.000000, 7.770266
553.000000, 7.775731
552.000000, 7.778520
551.000000, 7.772206
550.000000, 7.787981
549.000000, 7.783533
548.000000, 7.800061
547.000000, 7.802867
546.000000, 7.819461
545.000000, 7.820850
544.000000, 7.812746
