nm, %R
800.000000, 7.681171
799.000000, 7.675466
798.000000, 7.681903
797.000000, 7.657670
796.000000, 7.636892
795.000000, 7.686183
794.000000, 7.651966
793.000000, 7.649979
792.000000, 7.638283
791.000000, 7.639888
790.000000, 7.604415
789.000000, 7.610971
788.000000, 7.644827
787.000000, 7.622064
786.000000, 7.617828
785.000000, 7.577773
784.000000, 7.614761
783.000000, 7.603148
782.000000, 7.583869
781.000000, 7.599818
780.000000, 7.604579
779.000000, 7.604141
778.000000, 7.608770
777.000000, 7.614298
776.000000, 7.568142
775.000000, 7.585705
774.000000, 7.592798
773.000000, 7.571050
772.000000, 7.556286
771.000000, 7.561440
770.000000, 7.540499
769.000000, 7.537534
768.000000, 7.533578
767.000000, 7.533563
766.000000, 7.553183
765.000000, 7.528113
764.000000, 7.530753
763.000000, 7.565179
762.000000, 7.539190
761.000000, 7.543436
760.000000, 7.530696
759.000000, 7.528962
758.000000, 7.509063
757.000000, 7.493890
756.000000, 7.500581
755.000000, 7.503525
754.000000, 7.515212
753.000000, 7.506065
752.000000, 7.493897
751.000000, 7.481925
750.000000, 7.501686
749.000000, 7.499272
748.000000, 7.494858
747.000000, 7.479444
746.000000, 7.488407
745.000000, 7.493316
744.000000, 7.465173
743.000000, 7.475833
742.000000, 7.477065
741.000000, 7.458044
740.000000, 7.461918
739.000000, 7.467517
738.000000, 7.461236
737.000000, 7.455158
736.000000, 7.439160
735.000000, 7.433628
734.000000, 7.452287
733.000000, 7.447525
732.000000, 7.443328
731.000000, 7.445226
730.000000, 7.430106
729.000000, 7.430624
728.000000, 7.424725
727.000000, 7.427001
726.000000, 7.425359
725.000000, 7.409106
724.000000, 7.398079
723.000000, 7.395556
722.000000, 7.401896
721.000000, 7.409972
720.000000, 7.409456
719.000000, 7.397569
718.000000, 7.397729
717.000000, 7.390876
716.000000, 7.389414
715.000000, 7.383670
714.000000, 7.378150
713.000000, 7.382499
712.000000, 7.388536
711.000000, 7.378593
710.000000, 7.374341
709.000000, 7.365098
708.000000, 7.364305
707.000000, 7.367751
706.000000, 7.363391
705.000000, 7.356154
704.000000, 7.363313
703.000000, 7.356749
702.000000, 7.350039
701.000000, 7.353776
700.000000, 7.345250
699.000000, 7.347343
698.000000, 7.344920
697.000000, 7.333658
696.000000, 7.326459
695.000000, 7.336504
694.000000, 7.340192
693.000000, 7.332345
692.000000, 7.319189
691.000000, 7.315866
690.000000, 7.327999
689.000000, 7.325008
688.000000, 7.311880
687.000000, 7.316702
686.000000, 7.319897
685.000000, 7.318174
684.000000, 7.311129
683.000000, 7.306357
682.000000, 7.307262
681.000000, 7.311688
680.000000, 7.307269
679.000000, 7.295604
678.000000, 7.284038
677.000000, 7.295339
676.000000, 7.303384
675.000000, 7.296893
674.000000, 7.294463
673.000000, 7.293861
672.000000, 7.291283
671.000000, 7.284998
670.000000, 7.280638
669.000000, 7.286806
668.000000, 7.288037
667.000000, 7.277533
666.000000, 7.266845
665.000000, 7.250263
664.000000, 7.246246
663.000000, 7.255820
662.000000, 7.269448
661.000000, 7.269520
660.000000, 7.266413
659.000000, 7.259891
658.000000, 7.256285
657.000000, 7.256470
656.000000, 7.246703
655.000000, 7.243017
654.000000, 7.240684
653.000000, 7.245514
652.000000, 7.246749
651.000000, 7.244718
650.000000, 7.236579
649.000000, 7.227918
648.000000, 7.232326
647.000000, 7.240844
646.000000, 7.240788
645.000000, 7.244097
644.000000, 7.245836
643.000000, 7.235950
642.000000, 7.236746
641.000000, 7.234330
640.000000, 7.230116
639.000000, 7.235271
638.000000, 7.234464
637.000000, 7.231087
636.000000, 7.226516
635.000000, 7.234200
634.000000, 7.234367
633.000000, 7.227405
632.000000, 7.227031
631.000000, 7.229892
630.000000, 7.223127
629.000000, 7.225112
628.000000, 7.217552
627.000000, 7.225984
626.000000, 7.225505
625.000000, 7.220662
624.000000, 7.217016
623.000000, 7.221351
622.000000, 7.221378
621.000000, 7.211469
620.000000, 7.214626
619.000000, 7.219854
618.000000, 7.217670
617.000000, 7.222179
616.000000, 7.215159
615.000000, 7.217342
614.000000, 7.212157
613.000000, 7.221727
612.000000, 7.223606
611.000000, 7.218100
610.000000, 7.207395
609.000000, 7.219458
608.000000, 7.214562
607.000000, 7.219402
606.000000, 7.230512
605.000000, 7.222490
604.000000, 7.225482
603.000000, 7.221684
602.000000, 7.213463
601.000000, 7.228875
600.000000, 7.231715
599.000000, 7.220700
598.000000, 7.217510
597.000000, 7.225517
596.000000, 7.231692
595.000000, 7.246367
594.000000, 7.243827
593.000000, 7.237787
592.000000, 7.233272
591.000000, 7.238753
590.000000, 7.244479
589.000000, 7.249747
588.000000, 7.246169
587.000000, 7.244783
586.000000, 7.250253
585.000000, 7.242633
584.000000, 7.251541
583.000000, 7.261178
582.000000, 7.256082
581.000000, 7.260102
580.000000, 7.263766
579.000000, 7.265821
578.000000, 7.259516
577.000000, 7.266192
576.000000, 7.269621
575.000000, 7.281595
574.000000, 7.286960
573.000000, 7.275239
572.000000, 7.290060
571.000000, 7.282713
570.000000, 7.296190
569.000000, 7.293732
568.000000, 7.290783
567.000000, 7.286428
566.000000, 7.294519
565.000000, 7.299392
564.000000, 7.314600
563.000000, 7.307183
562.000000, 7.316114
561.000000, 7.314866
560.000000, 7.308323
559.000000, 7.307633
558.000000, 7.308958
557.000000, 7.299962
556.000000, 7.317459
555.000000, 7.321069
554.000000, 7.323909
553.000000, 7.332737
552.000000, 7.294650
551.000000, 7.329432
550.000000, 7.358154
549.000000, 7.355396
548.000000, 7.365265
547.000000, 7.349658
546.000000, 7.352435
545.000000, 7.374138
544.000000, 7.382979
543.000000, 7.397286
542.000000, 7.398765
541.000000, 7.404979
540.000000, 7.413232
539.000000, 7.418025
538.000000, 7.426293
537.000000, 7.445805
536.000000, 7.437542
535.000000, 7.449081
534.000000, 7.454234
533.000000, 7.462254
532.000000, 7.464970
531.000000, 7.474494
530.000000, 7.489298
529.000000, 7.494005
528.000000, 7.510857
527.000000, 7.515330
526.000000, 7.534803
525.000000, 7.534522
524.000000, 7.547023
523.000000, 7.555031
522.000000, 7.567145
521.000000, 7.581747
520.000000, 7.589945
519.000000, 7.601013
518.000000, 7.615916
517.000000, 7.637470
516.000000, 7.649693
515.000000, 7.660820
514.000000, 7.665890
513.000000, 7.685189
512.000000, 7.701011
511.000000, 7.716437
510.000000, 7.729882
509.000000, 7.749240
508.000000, 7.761211
507.000000, 7.776065
506.000000, 7.792813
505.000000, 7.810471
504.000000, 7.830288
503.000000, 7.848855
502.000000, 7.849649
501.000000, 7.867357
500.000000, 7.881467
499.000000, 7.888439
498.000000, 7.896428
497.000000, 7.911329
496.000000, 7.914002
495.000000, 7.924867
494.000000, 7.925428
493.000000, 7.923638
492.000000, 7.926996
491.000000, 7.933650
490.000000, 7.936894
489.000000, 7.930281
488.000000, 7.938790
487.000000, 7.941319
486.000000, 7.950711
485.000000, 7.953608
484.000000, 7.957701
483.000000, 7.962218
482.000000, 7.970171
481.000000, 7.979851
480.000000, 8.001372
479.000000, 8.033750
478.000000, 8.059626
477.000000, 8.084432
476.000000, 8.102403
475.000000, 8.113547
474.000000, 8.133097
473.000000, 8.156401
472.000000, 8.179464
471.000000, 8.192426
470.000000, 8.194068
469.000000, 8.214142
468.000000, 8.234504
467.000000, 8.249821
466.000000, 8.271010
465.000000, 8.292492
464.000000, 8.306688
463.000000, 8.318903
462.000000, 8.322110
461.000000, 8.335212
460.000000, 8.359578
459.000000, 8.372036
458.000000, 8.370349
457.000000, 8.379880
456.000000, 8.394458
455.000000, 8.408894
454.000000, 8.418058
453.000000, 8.414861
452.000000, 8.407936
451.000000, 8.413165
450.000000, 8.419205
449.000000, 8.426951
448.000000, 8.431556
447.000000, 8.430602
446.000000, 8.431753
445.000000, 8.418766
444.000000, 8.404212
443.000000, 8.403795
442.000000, 8.411186
441.000000, 8.413972
440.000000, 8.412374
439.000000, 8.419376
438.000000, 8.419060
437.000000, 8.416403
436.000000, 8.420628
435.000000, 8.420295
434.000000, 8.421594
433.000000, 8.402629
432.000000, 8.397003
431.000000, 8.391095
430.000000, 8.385760
429.000000, 8.392302
428.000000, 8.386706
427.000000, 8.369258
426.000000, 8.360495
425.000000, 8.357505
424.000000, 8.335323
423.000000, 8.315685
422.000000, 8.318754
421.000000, 8.301036
420.000000, 8.279646
419.000000, 8.281549
418.000000, 8.269107
417.000000, 8.261500
416.000000, 8.240360
415.000000, 8.218587
414.000000, 8.209052
413.000000, 8.208007
412.000000, 8.188753
411.000000, 8.175970
410.000000, 8.163898
409.000000, 8.136197
408.000000, 8.116663
407.000000, 8.088055
406.000000, 8.056687
405.000000, 8.060101
404.000000, 8.036833
403.000000, 8.017308
402.000000, 7.981743
401.000000, 7.940676
400.000000, 7.918933
399.000000, 7.890610
398.000000, 7.887609
397.000000, 7.865202
396.000000, 7.836009
395.000000, 7.818730
394.000000, 7.810902
393.000000, 7.766234
392.000000, 7.751753
391.000000, 7.729309
390.000000, 7.712055
389.000000, 7.689093
388.000000, 7.672842
387.000000, 7.661761
386.000000, 7.664954
385.000000, 7.668185
384.000000, 7.636915
383.000000, 7.604580
382.000000, 7.596993
381.000000, 7.597098
380.000000, 7.618215
379.000000, 7.612534
378.000000, 7.669554
377.000000, 6.432985
376.000000, 5.785900
375.000000, 5.848946
374.000000, 6.269511
373.000000, 6.589711
372.000000, 6.746539
371.000000, 6.831066
370.000000, 6.909614
369.000000, 6.986280
368.000000, 7.057482
367.000000, 7.208872
366.000000, 7.313136
365.000000, 7.355172
364.000000, 7.298028
363.000000, 7.343289
362.000000, 7.321710
361.000000, 7.366403
360.000000, 7.388688
359.000000, 7.425476
358.000000, 7.415312
357.000000, 7.452658
356.000000, 7.451889
355.000000, 7.536848
354.000000, 7.416757
353.000000, 7.489487
352.000000, 7.575996
351.000000, 7.412343
350.000000, 7.526327
349.000000, 7.531252
348.000000, 7.471153
347.000000, 7.690493
346.000000, 7.605189
345.000000, 7.720010
344.000000, 7.518462
343.000000, 7.521802
342.000000, 7.777307
341.000000, 7.592973
340.000000, 7.566229
339.000000, 7.600333
338.000000, 7.668833
337.000000, 7.441523
336.000000, 7.551405
335.000000, 7.551846
334.000000, 7.575261
333.000000, 7.351613
332.000000, 7.567002
331.000000, 7.787916
330.000000, 7.644015
329.000000, 7.657293
328.000000, 8.000538
327.000000, 7.878126
326.000000, 7.967953
325.000000, 7.936009
324.000000, 7.936526
323.000000, 8.043999
322.000000, 7.973228
321.000000, 8.181436
320.000000, 8.006315
319.000000, 7.632371
318.000000, 7.136449
317.000000, 7.109906
316.000000, 7.105993
315.000000, 7.100328
314.000000, 7.081779
313.000000, 7.048231
312.000000, 7.097119
311.000000, 7.118611
310.000000, 7.163678
309.000000, 7.202871
308.000000, 7.128901
307.000000, 7.189042
306.000000, 7.232815
305.000000, 7.291187
304.000000, 7.318557
303.000000, 7.334088
302.000000, 7.394915
301.000000, 7.497458
300.000000, 7.487809
299.000000, 7.531627
298.000000, 7.652571
297.000000, 7.802080
296.000000, 7.887430
295.000000, 7.987303
294.000000, 8.144815
293.000000, 8.200156
292.000000, 8.292876
291.000000, 8.320277
290.000000, 8.340281
289.000000, 8.409467
288.000000, 8.398500
287.000000, 8.341549
286.000000, 8.328373
285.000000, 8.275958
284.000000, 8.289213
283.000000, 8.255159
282.000000, 8.266410
281.000000, 8.248477
280.000000, 8.273841
279.000000, 8.261309
278.000000, 8.255234
277.000000, 8.248766
276.000000, 8.280198
275.000000, 8.254889
274.000000, 8.266871
273.000000, 8.311600
272.000000, 8.375400
271.000000, 8.415380
270.000000, 8.437352
269.000000, 8.470990
268.000000, 8.518008
267.000000, 8.574751
266.000000, 8.639222
265.000000, 8.738297
264.000000, 8.813432
263.000000, 8.887222
262.000000, 8.969918
261.000000, 9.044689
260.000000, 9.136999
259.000000, 9.269056
258.000000, 9.301869
257.000000, 9.404207
256.000000, 9.495320
255.000000, 9.558254
254.000000, 9.691844
253.000000, 9.856744
252.000000, 9.930905
251.000000, 10.035017
250.000000, 10.197810
