nm, %R
800.000000, 9.098603
799.000000, 9.561063
798.000000, 10.366557
797.000000, 9.820403
796.000000, 9.211745
795.000000, 9.940616
794.000000, 10.339390
793.000000, 9.543743
792.000000, 9.426288
791.000000, 10.114818
790.000000, 10.107798
789.000000, 9.407530
788.000000, 9.625986
787.000000, 10.243829
786.000000, 9.842689
785.000000, 9.389040
784.000000, 9.909878
783.000000, 10.124025
782.000000, 9.520111
781.000000, 9.604596
780.000000, 10.101029
779.000000, 9.887014
778.000000, 9.542077
777.000000, 9.961984
776.000000, 10.055154
775.000000, 9.618742
774.000000, 9.812147
773.000000, 10.200090
772.000000, 9.899946
771.000000, 9.499209
770.000000, 9.758364
769.000000, 10.006633
768.000000, 9.771652
767.000000, 9.690348
766.000000, 9.890740
765.000000, 9.687571
764.000000, 9.592297
763.000000, 9.981333
762.000000, 10.053743
761.000000, 9.676208
760.000000, 9.830793
759.000000, 9.947544
758.000000, 9.686330
757.000000, 9.761775
756.000000, 9.961211
755.000000, 9.689983
754.000000, 9.651201
753.000000, 9.954400
752.000000, 9.823323
751.000000, 9.661089
750.000000, 9.937117
749.000000, 9.845192
748.000000, 9.612870
747.000000, 9.841069
746.000000, 9.931131
745.000000, 9.622571
744.000000, 9.795392
743.000000, 9.954897
742.000000, 9.658945
741.000000, 9.714446
740.000000, 9.943784
739.000000, 9.710247
738.000000, 9.688031
737.000000, 9.969253
736.000000, 9.769461
735.000000, 9.654863
734.000000, 9.966067
733.000000, 9.814984
732.000000, 9.633130
731.000000, 9.923344
730.000000, 9.825728
729.000000, 9.604565
728.000000, 9.871819
727.000000, 9.865323
726.000000, 9.612367
725.000000, 9.883492
724.000000, 9.900362
723.000000, 9.630203
722.000000, 9.865006
721.000000, 9.894973
720.000000, 9.625438
719.000000, 9.857576
718.000000, 9.911444
717.000000, 9.648372
716.000000, 9.854357
715.000000, 9.891261
714.000000, 9.655325
713.000000, 9.879716
712.000000, 9.873728
711.000000, 9.659382
710.000000, 9.890109
709.000000, 9.856658
708.000000, 9.677402
707.000000, 9.893466
706.000000, 9.830749
705.000000, 9.702853
704.000000, 9.918372
703.000000, 9.801957
702.000000, 9.734744
701.000000, 9.928699
700.000000, 9.780535
699.000000, 9.765931
698.000000, 9.917442
697.000000, 9.764976
696.000000, 9.824044
695.000000, 9.904781
694.000000, 9.767315
693.000000, 9.896014
692.000000, 9.892850
691.000000, 9.772785
690.000000, 9.905163
689.000000, 9.841258
688.000000, 9.815403
687.000000, 9.954972
686.000000, 9.851125
685.000000, 9.858894
684.000000, 9.902449
683.000000, 9.829830
682.000000, 9.921187
681.000000, 9.906465
680.000000, 9.857733
679.000000, 9.929057
678.000000, 9.875676
677.000000, 9.904051
676.000000, 9.925682
675.000000, 9.880484
674.000000, 9.926634
673.000000, 9.906241
672.000000, 9.917581
671.000000, 9.942267
670.000000, 9.918454
669.000000, 9.959165
668.000000, 9.948993
667.000000, 9.943560
666.000000, 9.956170
665.000000, 9.940660
664.000000, 9.965666
663.000000, 9.944652
662.000000, 9.955382
661.000000, 9.960447
660.000000, 9.958334
659.000000, 9.992332
658.000000, 9.983421
657.000000, 10.000568
656.000000, 9.995366
655.000000, 9.989240
654.000000, 10.012103
653.000000, 9.987530
652.000000, 10.013824
651.000000, 10.006140
650.000000, 10.002842
649.000000, 10.014500
648.000000, 10.007739
647.000000, 10.038964
646.000000, 10.020982
645.000000, 10.059979
644.000000, 10.043921
643.000000, 10.040261
642.000000, 10.073336
641.000000, 10.042519
640.000000, 10.086540
639.000000, 10.062506
638.000000, 10.092487
637.000000, 10.086178
636.000000, 10.074760
635.000000, 10.101324
634.000000, 10.074118
633.000000, 10.104628
632.000000, 10.092274
631.000000, 10.121698
630.000000, 10.109833
629.000000, 10.108854
628.000000, 10.134274
627.000000, 10.120727
626.000000, 10.148013
625.000000, 10.122418
624.000000, 10.144088
623.000000, 10.127838
622.000000, 10.140643
621.000000, 10.155738
620.000000, 10.153632
619.000000, 10.161347
618.000000, 10.150467
617.000000, 10.179568
616.000000, 10.170197
615.000000, 10.197736
614.000000, 10.172429
613.000000, 10.180394
612.000000, 10.178469
611.000000, 10.180347
610.000000, 10.181068
609.000000, 10.171547
608.000000, 10.187440
607.000000, 10.187693
606.000000, 10.196411
605.000000, 10.194189
604.000000, 10.209754
603.000000, 10.199608
602.000000, 10.195431
601.000000, 10.196342
600.000000, 10.201089
599.000000, 10.199052
598.000000, 10.214367
597.000000, 10.211791
596.000000, 10.204275
595.000000, 10.214212
594.000000, 10.218916
593.000000, 10.219178
592.000000, 10.222693
591.000000, 10.236376
590.000000, 10.228355
589.000000, 10.235716
588.000000, 10.216364
587.000000, 10.220344
586.000000, 10.221038
585.000000, 10.233453
584.000000, 10.241603
583.000000, 10.241242
582.000000, 10.248399
581.000000, 10.248645
580.000000, 10.258551
579.000000, 10.234631
578.000000, 10.239041
577.000000, 10.233852
576.000000, 10.254339
575.000000, 10.249574
574.000000, 10.275320
573.000000, 10.262219
572.000000, 10.274561
571.000000, 10.265447
570.000000, 10.274911
569.000000, 10.291052
568.000000, 10.269050
567.000000, 10.285272
566.000000, 10.248766
565.000000, 10.302996
564.000000, 10.262177
563.000000, 10.312552
562.000000, 10.286797
561.000000, 10.312058
560.000000, 10.298791
559.000000, 10.277930
558.000000, 10.310675
557.000000, 10.281211
556.000000, 10.319818
555.000000, 10.294954
554.000000, 10.338037
553.000000, 10.343522
552.000000, 10.320792
551.000000, 10.366290
550.000000, 10.335520
549.000000, 10.388597
548.000000, 10.369724
547.000000, 10.368769
546.000000, 10.398664
545.000000, 10.384797
544.000000, 10.413581
543.000000, 10.423250
542.000000, 10.419259
541.000000, 10.448313
540.000000, 10.448787
539.000000, 10.455042
538.000000, 10.477529
537.000000, 10.468303
536.000000, 10.499587
535.000000, 10.498204
534.000000, 10.490224
533.000000, 10.537919
532.000000, 10.528189
531.000000, 10.531572
530.000000, 10.582706
529.000000, 10.546415
528.000000, 10.565890
527.000000, 10.608411
526.000000, 10.571962
525.000000, 10.614823
524.000000, 10.646736
523.000000, 10.607676
522.000000, 10.652418
521.000000, 10.675904
520.000000, 10.631622
519.000000, 10.678727
518.000000, 10.708375
517.000000, 10.667156
516.000000, 10.717256
515.000000, 10.742557
514.000000, 10.702482
513.000000, 10.730826
512.000000, 10.754195
511.000000, 10.724368
510.000000, 10.736073
509.000000, 10.764927
508.000000, 10.757254
507.000000, 10.758592
506.000000, 10.785180
505.000000, 10.771486
