,nm,Sample1Ref,Sample2Ref,Sample3Ref,Sample4Ref
450,350.0,12.861306,15.86604,13.394721,12.761592
449,351.0,12.731376,15.810058,13.506158,12.690969
448,352.0,12.751664,15.809066,13.383421,12.642524
447,353.0,12.718066,15.789743,13.301711,12.680343
446,354.0,12.806545,15.676974,13.142866,12.696559
445,355.0,12.666758,15.671698,13.233694,12.618696
444,356.0,12.686634,15.731043,13.151996,12.558597
443,357.0,12.684535,15.628273,13.024695,12.59823
442,358.0,12.686496,15.697034,13.109568,12.589426
441,359.0,12.760933,15.599201,13.005767,12.574823
440,360.0,12.716754,15.617043,13.024195,12.480029
439,361.0,12.667533,15.584618,12.799307,12.545377
438,362.0,12.621413,15.486696,12.671732,12.506433
437,363.0,12.547203,15.382552,12.600662,12.475007
436,364.0,12.544242,15.333002,12.587561,12.403563
435,365.0,12.467983,15.230659,12.478747,12.330612
434,366.0,12.392071,15.140844,12.120377,12.239287
433,367.0,12.331608,15.1075,12.133049,12.192781
432,368.0,12.301481,14.967775,11.990412,12.108363
431,369.0,12.249265,14.905291,11.608441,12.14437
430,370.0,12.173998,14.74418,11.169021,12.01451
429,371.0,12.109416,14.85593,11.034807,11.958053
428,372.0,12.016832,14.66009,10.609099,11.907621
427,373.0,11.896698,14.546297,10.046406,11.835779
426,374.0,11.938366,14.439711,9.526256,11.826783
425,375.0,11.814504,14.271465,9.160014,11.783289
424,376.0,11.802498,14.125765,9.767594,11.64999
423,377.0,11.887547,14.094418,10.696041,11.765784
422,378.0,12.144397,14.39758,11.636278,11.985574
421,379.0,12.06969,14.338578,12.279229,11.939605
420,380.0,12.034421,14.258854,12.290276,11.941535
419,381.0,12.037678,14.169936,12.253735,11.911324
418,382.0,11.995623,14.096345,12.218844,11.900399
417,383.0,11.980315,14.068364,12.188698,11.859738
416,384.0,11.977329,14.008136,12.15609,11.819494
415,385.0,11.944015,13.949066,12.137464,11.821676
414,386.0,11.934646,13.91183,12.119213,11.773077
413,387.0,11.935917,13.875725,12.149426,11.753922
412,388.0,11.89429,13.854551,12.137937,11.720177
411,389.0,11.856806,13.789914,12.110551,11.684102
410,390.0,11.820273,13.760156,12.061896,11.683302
409,391.0,11.77514,13.742406,12.058737,11.653284
408,392.0,11.75487,13.690497,12.049786,11.630384
407,393.0,11.742144,13.663912,12.051355,11.610342
406,394.0,11.72877,13.6492,12.030831,11.588906
405,395.0,11.706377,13.612254,12.008646,11.560817
404,396.0,11.676322,13.601698,11.966214,11.538483
403,397.0,11.647863,13.550986,11.959512,11.521707
402,398.0,11.63324,13.524169,11.940567,11.50107
401,399.0,11.624599,13.513265,11.928187,11.501934
400,400.0,11.599021,13.492427,11.889027,11.479656
399,401.0,11.572923,13.448633,11.855976,11.458207
398,402.0,11.5734,13.409179,11.822244,11.450145
397,403.0,11.553123,13.395969,11.806805,11.439706
396,404.0,11.548751,13.377631,11.802691,11.416756
395,405.0,11.545809,13.348136,11.772858,11.400558
394,406.0,11.530717,13.34337,11.722878,11.374215
393,407.0,11.523668,13.328489,11.703844,11.383954
392,408.0,11.529804,13.289728,11.72493,11.367293
391,409.0,11.51246,13.259999,11.695089,11.347183
390,410.0,11.506235,13.251512,11.680104,11.341934
389,411.0,11.498625,13.236277,11.651132,11.33735
388,412.0,11.484814,13.199479,11.629829,11.313665
387,413.0,11.469599,13.174017,11.606039,11.289639
386,414.0,11.438998,13.153019,11.596753,11.269678
385,415.0,11.434087,13.128298,11.571383,11.262121
384,416.0,11.416857,13.11072,11.55608,11.241412
383,417.0,11.393872,13.082904,11.550587,11.220107
382,418.0,11.382972,13.062185,11.544267,11.202911
381,419.0,11.35766,13.041212,11.543489,11.204312
380,420.0,11.342059,13.004102,11.531518,11.189546
379,421.0,11.335166,12.994053,11.506257,11.166025
378,422.0,11.317849,12.984477,11.490599,11.146066
377,423.0,11.298063,12.95473,11.491326,11.132588
376,424.0,11.274611,12.93415,11.48945,11.121219
375,425.0,11.244009,12.911732,11.471582,11.103423
374,426.0,11.240038,12.879512,11.478361,11.081517
373,427.0,11.225275,12.861378,11.474226,11.069324
372,428.0,11.204566,12.858753,11.452523,11.052851
371,429.0,11.184216,12.835163,11.430273,11.044444
370,430.0,11.159388,12.816715,11.413366,11.021041
369,431.0,11.14661,12.804631,11.395718,11.00738
368,432.0,11.145078,12.788575,11.391452,11.00542
367,433.0,11.137227,12.763435,11.389114,10.983906
366,434.0,11.114779,12.739848,11.386024,10.979705
365,435.0,11.104979,12.722733,11.364327,10.965046
364,436.0,11.095696,12.70282,11.328798,10.942178
363,437.0,11.062745,12.691371,11.316452,10.930864
362,438.0,11.062739,12.669874,11.281388,10.92786
361,439.0,11.062591,12.646394,11.273257,10.920535
360,440.0,11.057735,12.646997,11.29264,10.912069
359,441.0,11.036703,12.621089,11.251875,10.890615
358,442.0,11.014144,12.596026,11.204529,10.861514
357,443.0,11.008238,12.573286,11.182745,10.851943
356,444.0,11.004216,12.555079,11.177708,10.876534
355,445.0,11.012721,12.548231,11.191189,10.895303
354,446.0,11.022,12.544213,11.198794,10.88108
353,447.0,11.029019,12.540468,11.203467,10.871368
352,448.0,11.023966,12.531116,11.188127,10.851311
351,449.0,11.020054,12.507985,11.186568,10.832755
350,450.0,11.0199,12.501944,11.180324,10.833826
349,451.0,11.008274,12.495192,11.169198,10.831673
348,452.0,11.002059,12.477872,11.17465,10.824165
347,453.0,10.998748,12.47121,11.170858,10.810183
346,454.0,10.992919,12.464866,11.153105,10.79696
345,455.0,11.0062,12.453531,11.141632,10.780012
344,456.0,11.008779,12.451105,11.130805,10.761018
343,457.0,10.991534,12.442764,11.130708,10.75466
342,458.0,10.991661,12.418217,11.129501,10.747451
341,459.0,10.981916,12.40175,11.114955,10.731927
340,460.0,10.969176,12.387702,11.094923,10.713106
339,461.0,10.962992,12.367715,11.092411,10.681937
338,462.0,10.947129,12.358706,11.090699,10.656348
337,463.0,10.937597,12.355728,11.089339,10.637139
336,464.0,10.917376,12.350455,11.077663,10.621656
335,465.0,10.89193,12.334217,11.051865,10.600597
334,466.0,10.881195,12.300728,11.038889,10.576719
333,467.0,10.866823,12.287584,11.036034,10.568286
332,468.0,10.840434,12.282995,11.019757,10.541246
331,469.0,10.829205,12.266582,11.003567,10.513153
330,470.0,10.821124,12.245748,10.995076,10.498447
329,471.0,10.79394,12.231289,10.984459,10.475092
328,472.0,10.773266,12.219297,10.972859,10.458379
327,473.0,10.761526,12.201029,10.970713,10.447664
326,474.0,10.746146,12.17958,10.959759,10.431268
325,475.0,10.737739,12.168147,10.933551,10.418639
324,476.0,10.722449,12.151858,10.923726,10.408982
323,477.0,10.702853,12.138886,10.911141,10.405121
322,478.0,10.683879,12.140597,10.906464,10.387165
321,479.0,10.664162,12.122617,10.888052,10.363385
320,480.0,10.639556,12.083615,10.848633,10.348239
319,481.0,10.618811,12.060681,10.827154,10.346322
318,482.0,10.617879,12.055436,10.817117,10.346599
317,483.0,10.613017,12.042853,10.820825,10.362116
316,484.0,10.60163,12.022445,10.839755,10.376555
315,485.0,10.594747,12.022878,10.837999,10.372508
314,486.0,10.599515,12.019809,10.837257,10.382697
313,487.0,10.612405,12.012437,10.846511,10.387633
312,488.0,10.608224,11.999479,10.849931,10.391034
311,489.0,10.599001,11.992409,10.837281,10.38328
310,490.0,10.593763,11.993026,10.841822,10.3796
